Transformation,Core SMILES,Monomer SMILES,Product SMILES,Alkyl Group SMILES [Core],Alkyl Group SMILES [X],Salt,Salt Ratio,Yield (%),Yield,Purified,C(sp3)-X Substitution,Main C(sp3) substituent Type,Remote FG,,,
BF3K-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,C[B-](F)(F)F.[K+],Cc1cccc(c1)n2cccn2,C[Core],[X]C,,,0,0,0,0 - Methyl,alkyl,--,,,
CEC-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,COS(=O)(=O)c1ccc(C)cc1,Cc1cccc(c1)n2cccn2,C[Core],[X]C,,,10,0.1021,2.1,0 - Methyl,alkyl,--,,,
COOH-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,CC(=O)O,Cc1cccc(c1)n2cccn2,C[Core],[X]C,,,0,0,0,0 - Methyl,alkyl,--,,,
BF3K-Pd-Suzuki,BrC1=CC(N2N=CC=C2)=CC=C1,C[B-](F)(F)F.[K+],Cc1cccc(c1)n2cccn2,C[Core],[X]C,,,0,0,,0 - Methyl,alkyl,--,,,
MIDA-Pd-Suzuki,BrC1=CC(N2N=CC=C2)=CC=C1,CB1OC(=O)CN(C)CC(=O)O1,Cc1cccc(c1)n2cccn2,C[Core],[X]C,,,0,0,0,0 - Methyl,alkyl,--,,,
Negishi-Pd,BrC1=CC(N2N=CC=C2)=CC=C1,C[Zn]Cl,Cc1cccc(c1)n2cccn2,C[Core],[X]C,,,97,0.97,13.7,0 - Methyl,alkyl,--,,,
CEC-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,COS(=O)(=O)c1ccc(C)cc1,CN1CCN(Cc2ccc(C)cc2)CC1,C[Core],[X]C,TFA,1,0,0,0,0 - Methyl,alkyl,--,,,
BF3K-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,C[B-](F)(F)F.[K+],CN1CCN(Cc2ccc(C)cc2)CC1,C[Core],[X]C,TFA,1,0,0,0,0 - Methyl,alkyl,--,,,
COOH-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(=O)O,CN1CCN(Cc2ccc(C)cc2)CC1,C[Core],[X]C,TFA,1,0,0,0,0 - Methyl,alkyl,--,,,
BF3K-Pd-Suzuki,CN1CCN(CC(C=C2)=CC=C2Br)CC1,C[B-](F)(F)F.[K+],CN1CCN(Cc2ccc(C)cc2)CC1,C[Core],[X]C,,,15,0.1468,3,0 - Methyl,alkyl,--,,,
MIDA-Pd-Suzuki,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CB1OC(=O)CN(C)CC(=O)O1,CN1CCN(Cc2ccc(C)cc2)CC1,C[Core],[X]C,,,7,0.0685,1.4,0 - Methyl,alkyl,--,,,
