Plate Position,Electrophile,Electrophile charge,Nucleophile,Nucleophile charge,Catalyst,Catalyst charge,Base,Base charge,IS,ArBr,Prod,Nu,Pd/IS,
A1,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),BINAP Pd G3 30,250 nL (10 nmol),DBU 24,250 nL (200 nmol)  ,240134,1206548,0,2638835,0.00,
A2,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),BINAP Pd G3 30,250 nL (10 nmol),MTBD 25,250 nL (200 nmol)  ,238726,1130276,0,2474074,0.00,
A3,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),BINAP Pd G3 30,250 nL (10 nmol),BTMG 26,250 nL (200 nmol)  ,235018,1099909,0,2387052,0.00,
A4,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),BINAP Pd G3 30,250 nL (10 nmol),BEMP 27,250 nL (200 nmol)  ,238060,1111019,32684,2511884,0.14,
A5,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),BINAP Pd G3 30,250 nL (10 nmol),BTTP 28,250 nL (200 nmol)  ,232567,1116529,0,2576513,0.00,
A6,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),BINAP Pd G3 30,250 nL (10 nmol),P2Et 29,250 nL (200 nmol)  ,229214,1013299,0,2390244,0.00,
A7,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),DPPF Pd G3 31,250 nL (10 nmol),DBU 24,250 nL (200 nmol)  ,351795,1031638,0,2512466,0.00,
A8,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),DPPF Pd G3 31,250 nL (10 nmol),MTBD 25,250 nL (200 nmol)  ,346329,896351,0,2461526,0.00,
A9,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),DPPF Pd G3 31,250 nL (10 nmol),BTMG 26,250 nL (200 nmol)  ,350865,836656,0,2376102,0.00,
A10,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),DPPF Pd G3 31,250 nL (10 nmol),BEMP 27,250 nL (200 nmol)  ,325226,761261,32648,2456736,0.10,
A11,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),DPPF Pd G3 31,250 nL (10 nmol),BTTP 28,250 nL (200 nmol)  ,306398,755865,0,2437150,0.00,
A12,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),DPPF Pd G3 31,250 nL (10 nmol),P2Et 29,250 nL (200 nmol)  ,331127,733271,0,2287925,0.00,
A13,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),XantPhos Pd G2 32,250 nL (10 nmol),DBU 24,250 nL (200 nmol)  ,216136,1148949,0,2632235,0.00,
A14,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),XantPhos Pd G2 32,250 nL (10 nmol),MTBD 25,250 nL (200 nmol)  ,203008,1114900,0,2596187,0.00,
A15,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),XantPhos Pd G2 32,250 nL (10 nmol),BTMG 26,250 nL (200 nmol)  ,205322,1082690,0,2566458,0.00,
A16,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),XantPhos Pd G2 32,250 nL (10 nmol),BEMP 27,250 nL (200 nmol)  ,209397,1107696,30742,2647727,0.15,
A17,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),XantPhos Pd G2 32,250 nL (10 nmol),BTTP 28,250 nL (200 nmol)  ,220206,1092697,0,2620252,0.00,
A18,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),XantPhos Pd G2 32,250 nL (10 nmol),P2Et 29,250 nL (200 nmol)  ,219681,1072961,0,2412793,0.00,
A19,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),tBu3P Pd G2 33,250 nL (10 nmol),DBU 24,250 nL (200 nmol)  ,228081,1190893,0,2544030,0.00,
A20,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),tBu3P Pd G2 33,250 nL (10 nmol),MTBD 25,250 nL (200 nmol)  ,232202,1125350,0,2429803,0.00,
A21,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),tBu3P Pd G2 33,250 nL (10 nmol),BTMG 26,250 nL (200 nmol)  ,227739,1054722,0,2423860,0.00,
A22,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),tBu3P Pd G2 33,250 nL (10 nmol),BEMP 27,250 nL (200 nmol)  ,238314,1091786,39205,2520715,0.16,
A23,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),tBu3P Pd G2 33,250 nL (10 nmol),BTTP 28,250 nL (200 nmol)  ,233447,1029529,0,2444856,0.00,
A24,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),tBu3P Pd G2 33,250 nL (10 nmol),P2Et 29,250 nL (200 nmol)  ,247243,1006560,0,2307931,0.00,
A25,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),PPA Pd G3 34,250 nL (10 nmol),DBU 24,250 nL (200 nmol)  ,269864,1220177,0,2399015,0.00,
A26,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),PPA Pd G3 34,250 nL (10 nmol),MTBD 25,250 nL (200 nmol)  ,263321,1098438,0,2331189,0.00,
A27,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),PPA Pd G3 34,250 nL (10 nmol),BTMG 26,250 nL (200 nmol)  ,268837,1097686,0,2358440,0.00,
A28,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),PPA Pd G3 34,250 nL (10 nmol),BEMP 27,250 nL (200 nmol)  ,280605,1075083,107598,2470575,0.38,
A29,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),PPA Pd G3 34,250 nL (10 nmol),BTTP 28,250 nL (200 nmol)  ,336800,1081273,0,2930397,0.00,
A30,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),PPA Pd G3 34,250 nL (10 nmol),P2Et 29,250 nL (200 nmol)  ,263900,963377,0,2286437,0.00,
A31,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),Aphos Pd G3 35,250 nL (10 nmol),DBU 24,250 nL (200 nmol)  ,229465,1203720,52559,2645281,0.23,
A32,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),Aphos Pd G3 35,250 nL (10 nmol),MTBD 25,250 nL (200 nmol)  ,235082,1074638,98845,2482684,0.42,
A33,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),Aphos Pd G3 35,250 nL (10 nmol),BTMG 26,250 nL (200 nmol)  ,229045,1027812,91841,2348641,0.40,
A34,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),Aphos Pd G3 35,250 nL (10 nmol),BEMP 27,250 nL (200 nmol)  ,229444,1005854,81713,2392741,0.36,
A35,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),Aphos Pd G3 35,250 nL (10 nmol),BTTP 28,250 nL (200 nmol)  ,232774,965238,55116,2586806,0.24,
A36,bromide 22,250 nL (50 nmol),amine S1,250 nL (100 nmol),Aphos Pd G3 35,250 nL (10 nmol),P2Et 29,250 nL (200 nmol)  ,256013,925477,75760,2429728,0.30,
