component,name,Additive_SMILES
1,4-phenylisoxazole,o1cc(cn1)c2ccccc2
2,5-phenylisoxazole,o1nccc1c2ccccc2
3,3-phenylisoxazole,o1ccc(n1)c2ccccc2
4,ethyl-3-methylisoxazole-5-carboxylate,CCOC(=O)c1onc(C)c1
5,3-methylisoxazole,Cc1ccon1
6,ethyl-5-methylisoxazole-3-carboxylate,CCOC(=O)c1cc(C)on1
8,5-methylisoxazole,Cc1oncc1
9,ethyl-isoxazole-3-carboxylate,CCOC(=O)c1ccon1
10,benzo[c]isoxazole,o1cc2ccccc2n1
11,ethyl-5-methylisoxazole-4-carboxylate,CCOC(=O)c1cnoc1C
12,"3,5-dimethylisoxazole",Cc1onc(C)c1
13,ethyl-isoxazole-4-carboxylate,CCOC(=O)c1conc1
14,methyl-isoxazole-5-carboxylate,COC(=O)c1oncc1
15,benzo[d]isoxazole,o1ncc2ccccc12
16,"5-(2,6-difluorophenyl)isoxazole",Fc1cccc(F)c1c2oncc2
17,3-methyl-5-phenylisoxazole,Cc1cc(on1)c2ccccc2
18,"N,N-dibenzylisoxazol-5-amine",C(N(Cc1ccccc1)c2oncc2)c3ccccc3
19,"N,N-dibenzylisoxazol-3-amine",C(N(Cc1ccccc1)c2ccon2)c3ccccc3
20,5-methyl-3-(1H-pyrrol-1-yl)isoxazole,Cc1onc(c1)n2cccc2
21,methyl-5-(furan-2-yl)isoxazole-3-carboxylate,COC(=O)c1cc(on1)c2occc2
22,methyl-5-(thiophen-2-yl)isoxazole-3-carboxylate,COC(=O)c1cc(on1)c2sccc2
23,ethyl-3-methoxyisoxazole-5-carboxylate,CCOC(=O)c1onc(OC)c1
