Well,nucleophile_smiles,product_smiles,LCAP
A1,NCCSCC1=CC=CO1,CC(C1=CC=CN=C1)NCCSCC2=CC=CO2,61
A2,NCCCC2=CC=C(C=C2)OC(C)(C)C,CC(C3=CC=CN=C3)NCCCC4=CC=C(C=C4)OC(C)(C)C,67
A3,NCCS(=O)(C3=CC=C(C)C=C3)=O,O=S(CCNC(C)C5=CC=CN=C5)(C6=CC=C(C)C=C6)=O,56
A4,NCC4(CCOCC4)N5CCCCC5,CC(C7=CC=CN=C7)NCC8(CCOCC8)N9CCCCC9,63
A5,N[C@@H]6C[C@H]7CC[C@@H]6C7,CC(C%10=CC=CN=C%10)N[C@@H]%11C[C@H]%12CC[C@@H]%11C%12,63
A6,NCC[C@@H]8CCCN9[C@@H]8CCCC9,CC(C%13=CC=CN=C%13)NCC[C@@H]%14CCCN%15[C@@H]%14CCCC%15,72
A7,NCCC%10=CCCCC%10,CC(C%16=CC=CN=C%16)NCCC%17=CCCCC%17,33
A8,N[C@H]%11CCCC[C@@H]%11OCC%12=CC=CC=C%12,CC(C%18=CC=CN=C%18)N[C@H]%19CCCC[C@@H]%19OCC%20=CC=CC=C%20,44
A9,O=C%13O[C@@H](CN)CN%13C%14=CC(F)=C(N%15CCOCC%15)C=C%14,O=C%21O[C@@H](CNC(C)C%22=CC=CN=C%22)CN%21C%23=CC(F)=C(N%24CCOCC%24)C=C%23,69
A10,NCC%16(CC%16)C%17=CC(C(F)(F)F)=CC=C%17,CC(C%25=CC=CN=C%25)NCC%26(CC%26)C%27=CC(C(F)(F)F)=CC=C%27,66
A11,NCCN%18C=CN=N%18,CC(C%28=CC=CN=C%28)NCCN%29C=CN=N%29,52
A12,O=C([C@H]%19[C@@H]%20C[C@@H](C=C%20)[C@H]%19N)OCC,O=C([C@H]%30[C@@H]%31C[C@@H](C=C%31)[C@H]%30NC(C)C%32=CC=CN=C%32)OCC,43
B1,NCCN1CCN(c2ccc(Cl)cn2)CC1,CC(NCCN1CCN(c2ccc(Cl)cn2)CC1)c1cccnc1,47
B2,Cc1cc(C(F)(F)F)nc(CCN)n1,Cc1cc(C(F)(F)F)nc(CCNC(C)c2cccnc2)n1,42
B3,NCC1C2CN(Cc3ccccc3)CC12,CC(NCC1C2CN(Cc3ccccc3)CC12)c1cccnc1,46
B4,CN(C)S(=O)(=O)CCN,CC(NCCS(=O)(=O)N(C)C)c1cccnc1,35
B5,NCCN1CCC(c2ccccc2)C1,CC(NCCN1CCC(c2ccccc2)C1)c1cccnc1,64
B6,NCCc1cn2cccnc2n1,CC(NCCc1cn2cccnc2n1)c1cccnc1,46
B7,CCN(CC)C1CCC(N)CC1,CCN(CC)C1CCC(NC(C)c2cccnc2)CC1,68
B8,NCCN1C(=O)CSC1=O,CC(NCCN1C(=O)CSC1=O)c1cccnc1,58
B9,NCCN1CCN(c2ncccn2)CC1,CC(NCCN1CCN(c2ncccn2)CC1)c1cccnc1,64
B10,Cc1cccc(C(C)(C)CN)c1,Cc1cccc(C(C)(C)CNC(C)c2cccnc2)c1,31
B11,N#Cc1cccc(OCCCN)c1,CC(NCCCOc1cccc(C#N)c1)c1cccnc1,65
B12,CC(C)c1ccc(CCCN)cc1,CC(C)c1ccc(CCCNC(C)c2cccnc2)cc1,70
C1,c1cc2c(cc1CN1CCNCC1)OCO2,CC(c1cccnc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,71
C2,COc1cccc(N2CCC3(CCNC3)C2)c1,COc1cccc(N2CCC3(CCN(C(C)c4cccnc4)C3)C2)c1,49
C3,Fc1ccc2onc(C3CCNCC3)c2c1,CC(c1cccnc1)N1CCC(c2noc3ccc(F)cc23)CC1,78
C4,C1CCNC(CN2CCOCC2)CC1,CC(c1cccnc1)N1CCCCCC1CN1CCOCC1,48
C5,COc1ccc(CN2CCNCC2)c(OC)c1OC,COc1ccc(CN2CCN(C(C)c3cccnc3)CC2)c(OC)c1OC,84
C6,c1ccc(-c2ccnc(N3CCNCC3)n2)cc1,CC(c1cccnc1)N1CCN(c2nccc(-c3ccccc3)n2)CC1,50
C7,CNCC1CCCN(C)C1,CC(c1cccnc1)N(C)CC1CCCN(C)C1,63
C8,FC1(F)CCN(C2CCNCC2)C1,CC(c1cccnc1)N1CCC(N2CCC(F)(F)C2)CC1,74
C9,CCc1ncc2n1CCNC2,CCc1ncc2n1CCN(C(C)c1cccnc1)C2,74
C10,c1ccc2c(N3CCNCC3)nsc2c1,CC(c1cccnc1)N1CCN(c2nsc3ccccc23)CC1,87
C11,FC(F)(F)c1ccccc1OC1CCNCC1,CC(c1cccnc1)N1CCC(Oc2ccccc2C(F)(F)F)CC1,92
C12,CCOC(=O)c1ccc(N2CCNCC2)cc1,CCOC(=O)c1ccc(N2CCN(C(C)c3cccnc3)CC2)cc1,62
D1,CNC1CCNC1,CNC1CCN(C(C)c2cccnc2)C1,76
D2,CC1(C)CCNC1,CC(c1cccnc1)N1CCC(C)(C)C1,73
D3,O=S(=O)(N1CCCCC1)N1CCNCC1,CC(c1cccnc1)N1CCN(S(=O)(=O)N2CCCCC2)CC1,43
D4,CCN1CCNCC1=O,CCN1CCN(C(C)c2cccnc2)CC1=O,87
D5,CCOC(=O)C1CCN(C2CCNCC2)CC1,CCOC(=O)C1CCN(C2CCN(C(C)c3cccnc3)CC2)CC1,73
D6,CNCCc1noc(C(C)C)n1,CC(C)c1nc(CCN(C)C(C)c2cccnc2)no1,82
D7,CSc1ccccc1N1CCNCC1,CSc1ccccc1N1CCN(C(C)c2cccnc2)CC1,68
D8,FC(F)(F)c1ccc(CC2CCNC2)cc1,CC(c1cccnc1)N1CCC(Cc2ccc(C(F)(F)F)cc2)C1,78
D9,Fc1cccc(N2C[C@@H]3C[C@H]2CN3)c1,CC(c1cccnc1)N1C[C@@H]2C[C@H]1CN2c1cccc(F)c1,53
D10,O=C(N1CCNCC1)N1CCOCC1,CC(c1cccnc1)N1CCN(C(=O)N2CCOCC2)CC1,71
D11,N#Cc1ccc(OC2CCNCC2)cc1Cl,CC(c1cccnc1)N1CCC(Oc2ccc(C#N)c(Cl)c2)CC1,47
D12,O=S(=O)(c1ccccc1)N(C1CCNCC1)C1CC1,CC(c1cccnc1)N1CCC(N(C2CC2)S(=O)(=O)c2ccccc2)CC1,74
E1,C1CC2CC1CN2,CC(c1cccnc1)N1CC2CCC1C2,82
E2,CC(C)c1noc(C2CCCNC2)n1,CC(C)c1noc(C2CCCN(C(C)c3cccnc3)C2)n1,83
E3,Clc1ccccc1CN1C[C@@H]2C[C@H]1CN2,CC(c1cccnc1)N1C[C@@H]2C[C@H]1CN2Cc1ccccc1Cl,78
E4,COC(=O)c1cccc2c1CCNC2,COC(=O)c1cccc2c1CCN(C(C)c1cccnc1)C2,63
E5,CN(C)C(=O)c1ccccc1OC1CCNCC1,CC(c1cccnc1)N1CCC(Oc2ccccc2C(=O)N(C)C)CC1,67
E6,c1ccc(COC2CCCNC2)nc1,CC(c1cccnc1)N1CCCC(OCc2ccccn2)C1,62
E7,Cn1cc(C2CCNC2)cn1,CC(c1cccnc1)N1CCC(c2cnn(C)c2)C1,79
E8,C1CN(C2CCNC2)CCN1,CC(c1cccnc1)N1CCC(N2CCNCC2)C1,61
E9,CN1CCCCC1C1CCCN1,CC(c1cccnc1)N1CCCC1C1CCCCN1C,73
E10,CS(=O)(=O)c1ccc(C2CCCNC2)cc1,CC(c1cccnc1)N1CCCC(c2ccc(S(C)(=O)=O)cc2)C1,82
